LON,LAT,NUMBER,STREET
-134.4443156,58.3140717,1690,Glacier Hwy
-134.6288913,58.3583733,1775,Mendenhall Peninsula Rd
-134.6291923,58.3579638,1765,Mendenhall Peninsula Rd
-134.625174,58.3580901,,Mendenhall Peninsula Rd
-134.5947701,58.4115197,1131,Slim Williams Way
-134.5950003,58.4114311,1129,Slim Williams Way
-134.595232,58.4113415,1127,Slim Williams Way
-134.5954679,58.4112501,1125,Slim Williams Way
-134.5986559,58.4058498,5120,Blueberry Ln
-134.5993202,58.4055978,5111,Blueberry Ln
-134.5982489,58.4055187,5090,Blueberry Ln
-134.6969517,58.3769886,3100,Indian Cove Dr
-134.6900127,58.3784228,,
-134.5786547,58.3779542,2865,Mendenhall Loop Rd
-134.5781705,58.3772042,2865,Mendenhall Loop Rd
-134.5783207,58.3773238,2865,Mendenhall Loop Rd
-134.5792005,58.3769519,2865,Mendenhall Loop Rd
-134.5796071,58.3764554,2865,Mendenhall Loop Rd
-134.6960289,58.3747728,,
-134.581719,58.359808,9091,Yandukin Dr
-134.5790025,58.3594181,,
-134.4315056,58.3063164,1715,Glacier Ave
-134.6966426,58.3782729,3100,Indian Cove Dr
-134.6963367,58.3786806,3100,Indian Cove Dr
-134.5791202,58.3591552,,
-134.6928696,58.3778741,,
-134.4317542,58.3064768,,
-134.5700441,58.3946346,4101,Birch Ln
-134.5900074,58.3687091,9450,Del Rae Rd
-134.9081658,58.6609602,,
-134.5677379,58.3816735,8513,Rainbow Row
-134.4337942,58.2990334,,
-134.4355734,58.2990525,,
-134.4360547,58.3000285,,
-134.5019662,58.3548047,5750,Concrete Way
-134.4349496,58.2987282,,
-134.4354429,58.2993971,,
-134.434959,58.2994281,,
-134.5683495,58.381796,8516,Evergreen Park Rd
-134.5681864,58.3819702,8514,Evergreen Park Rd
-134.5024729,58.3546273,5760,Concrete Way
-134.5041344,58.3531391,5771,Concrete Way
-134.5736316,58.3914356,8250,Aspen Ave
-134.5908556,58.3385332,10606,Horizon Dr
-134.5735519,58.3916728,8145,Pinewood Dr
-134.5740038,58.3914626,8157,Pinewood Dr
-134.5149181,58.358396,6525,Glacier Hwy
-134.520394,58.3585145,6585,Glacier Hwy
-134.515627,58.3567417,,
-134.491042,58.3491873,5000,Glacier Hwy
-134.4914328,58.348588,1006,Coogan Dr
-134.4919057,58.3486085,1002,Coogan Dr
-134.4915799,58.347766,4900,Glacier Hwy
-134.5175216,58.3583066,6545,Glacier Hwy
-134.5118697,58.3578391,6225,Alaway Ave
-134.5083769,58.3557236,6235,Alaway Ave
-134.5101077,58.3544076,6225,Alaway Ave
-134.4924252,58.3481497,1003,Coogan Dr
-134.4917974,58.3480857,,Coogan Dr
-134.4912941,58.3480399,,Coogan Dr
-134.4901307,58.3479639,,Coogan Dr
-134.490785,58.3479918,,Coogan Dr
-134.5710682,58.3564053,,
-134.8728452,58.5606764,,
-134.7938996,58.5240308,,
-134.7926127,58.5229008,,
-134.7924209,58.5183797,,
-134.7720677,58.5035506,25001,Glacier Hwy
-134.7672493,58.5038074,24900,Glacier Hwy
-134.7712938,58.4960039,24345,Glacier Hwy
-134.7698912,58.4954635,,
-134.7724782,58.4950386,24325,Amalga Harbor Rd
-134.7744504,58.4930132,,
-134.7847657,58.4933341,,
-134.7867497,58.4924179,,
-134.7732104,58.4890375,,
-134.7822782,58.4819637,23035,Glacier Hwy
-134.7791002,58.4818549,,
-134.7815883,58.4762947,22745,Glacier Hwy
-134.7759874,58.4717475,,
-134.7823279,58.4745515,,
-134.7827256,58.4729551,,
-134.7673047,58.4535122,,
-134.759933,58.437959,,
-134.7663955,58.4408168,20115,Glacier Hwy
-134.7699411,58.4399203,20019,Cohen Dr
-134.7672321,58.4398055,,
-134.768513,58.4393472,20012,Cohen Dr
-134.7669777,58.439418,20003,Glacier Hwy
-134.7651181,58.436686,19790,Cohen Way
-134.7631716,58.4351918,,
-134.7636657,58.434786,,
-134.7675383,58.4348311,19890,Cohen Dr
-134.768162,58.4347419,,
-134.7672091,58.4338421,,
-134.7626967,58.4329797,19501,Glacier Hwy
-134.7625605,58.4324371,19485,Glacier Hwy
-134.7598489,58.4303219,19325,Randall Rd
-134.7584715,58.4278475,19141,Randall Rd
-134.7576554,58.4274051,19133,Randall Rd
-134.7578534,58.4120738,18045,Glacier Hwy
-134.7579424,58.4116529,18025,Glacier Hwy
-134.7546518,58.4083217,17900,Glacier Hwy
-134.757002,58.4075117,17875,Pt Stephens Rd
-134.7588819,58.4071134,17850,Pt Stephens Spur Rd
-134.760157,58.4067561,17853,Pt Stephens Spur Rd
-134.7554315,58.405063,,
-134.5873397,58.4060341,9490,Moraine Way
-134.7551172,58.404505,17550,Andreanoff Dr
-134.5854799,58.4057913,9393,View Dr
-134.5950104,58.4056395,9691,Moraine Way
-134.756463,58.4041902,17551,Andreanoff Dr
-134.5866806,58.405333,9491,Moraine Way
-134.5851584,58.4052856,5110,View Dr
-134.7543153,58.4037121,9001,Cove View Pl
-134.5845635,58.4019128,8999,Mendenhall Loop Rd
-134.7546918,58.4016965,17350,Glacier Hwy
-134.5829223,58.4016171,8999,Mendenhall Loop Rd
-134.7568701,58.4015764,17385,Glacier Hwy
-134.7564091,58.401259,17355,Glacier Hwy
-134.587924,58.4009531,9590,Whitewater Ct
-134.5544349,58.4013597,8003,Gladstone St
-134.5836132,58.400766,8999,Mendenhall Loop Rd
-134.5566779,58.401256,8292,Gladstone St
-134.5563864,58.401261,8290,Gladstone St
-134.5879323,58.4003801,9589,Whitewater Ct
-134.5569638,58.4009113,8117,Gladstone St
-134.5555767,58.4009422,4534,Glacier Spur Rd
-134.5822708,58.4002145,4531,Riverside Dr
-134.5796043,58.3999273,,
-134.5879183,58.3999907,9490,Riverbend Ct
-134.5815174,58.3999713,9019,Tournure St
-134.5805849,58.3996983,9011,Tournure St
-134.5564266,58.40004,8295,Garnet St
-134.5581834,58.3999474,8294,Counterpane Ln
-134.562239,58.3998461,4508,Dredge Lake Rd
-134.5799064,58.399483,9005,Tournure St
-134.5822195,58.3994345,9026,Rosedale St
-134.5596626,58.3996924,8305,Counterpane Ln
-134.5794009,58.3993336,4493,Columbia Blvd
-134.5587812,58.3996847,8237,Counterpane Ln
-134.5572152,58.3996156,8300,Garnet St
-134.5615588,58.3994675,4500,Dredge Lake Rd
-134.5825499,58.3991173,9029,Rosedale St
-134.5787107,58.399126,8943,Tournure St
-134.5752176,58.399171,4501,Chelsea Ct
-134.576947,58.398906,8839,Glendale St
-134.5609154,58.3991482,8298,Valley Ave
-134.5779179,58.3988975,4409,Mint Way
-134.5758528,58.3986566,8824,Glendale St
-134.5798909,58.3985353,9000,Firndale St
-134.5595849,58.3988181,4456,Eyelet Ct
-134.5741125,58.3985464,8723,North Loop Way
-134.5728046,58.3985065,,North Loop Way
-134.57409,58.3983806,8721,North Loop Way
-134.5515011,58.398699,8173,Threadneedle St
-134.5602905,58.3984113,4447,Eyelet Ct
-134.558778,58.3983768,8198,Threadneedle St
-134.5506994,58.398509,8099,Threadneedle St
-134.5605694,58.3981647,,
-134.5516214,58.3983099,8160,Threadneedle St
-134.5656425,58.3978624,4330,Cone Pl
-134.5498357,58.3982929,8091,Threadneedle St
-134.5626426,58.3976542,,
-134.5508557,58.3981124,4497,Trafalgar Ave
-134.5644377,58.3975245,4327,Conifer Ln
-134.5827611,58.3975047,4402,Riverside Dr
-134.5489174,58.3980412,4500,Kanat'A St
-134.5754504,58.3975265,4367,Taku Blvd
-134.5747362,58.39744,4357,Taku Blvd
-134.5502134,58.3979204,4499,Kanat'A St
-134.5617399,58.3971333,4343,Mendenhall Loop Rd
-134.5827658,58.39713,9098,Pinedale St
-134.5492832,58.3976772,4498,Kanat'A St
-134.5794782,58.3970612,4400,Taku Blvd
-134.5746632,58.3970516,4452,Albatross St
-134.5847208,58.3968536,4310,Marion Dr
-134.5836021,58.3968539,4311,Riverside Dr
-134.5827135,58.3968761,4312,Riverside Dr
-134.5787976,58.3967895,4465,Columbia Blvd
-134.5796093,58.3966704,4500,Wood Duck Ave
-134.5737706,58.3966462,4432,Teel Ct
-134.5729587,58.3967603,4437,Mendenhall Blvd
-134.5745447,58.3965949,4447,Mendenhall Blvd
-134.5789724,58.3965422,4403,Taku Blvd
-134.5827148,58.3964624,9096,Fireweed Ln
-134.5847256,58.396421,4300,Marion Dr
-134.5836018,58.3964212,4303,Riverside Dr
-134.5800201,58.3963286,4412,Taku Blvd
-134.5827135,58.3961505,4300,Riverside Dr
-134.5847272,58.3961209,4290,Marion Dr
-134.5684849,58.3962517,8109,Poplar Ave
-134.5836036,58.3961201,4301,Riverside Dr
-134.5637988,58.3960169,4207,Mendenhall Loop Rd
-134.5689916,58.3961593,8113,Poplar Ave
-134.5714492,58.3961282,4424,Mendenhall Blvd
-134.5696045,58.3959023,4116,Dogwood Ln
-134.6152595,58.3951845,4001,All Season Dr
-134.6144161,58.3953025,10800,Lilac Dr
-134.5847346,58.3956957,4449,Taku Blvd
-134.5760284,58.3957312,8238,Poplar Ave
-134.5836399,58.3957002,4247,Riverside Dr
-134.5714434,58.3957641,4420,Mendenhall Blvd
-134.5826514,58.3956944,4431,Taku Blvd
-134.5816221,58.3956976,4425,Taku Blvd
-134.5751825,58.3957449,8230,Poplar Ave
-134.574444,58.3957515,8224,Poplar Ave
-134.5721987,58.3957585,4421,Mendenhall Blvd
-134.5807109,58.3956683,4477,Julep St
-134.567142,58.3953852,4102,Aspen Ave
-134.5759738,58.39532,8237,Poplar Ave
-134.5751827,58.3953304,4421,Columbia Blvd
-134.5744457,58.3953129,4420,Columbia Blvd
-134.572203,58.3953173,4415,Mendenhall Blvd
-134.5715012,58.3953169,4416,Mendenhall Blvd
-134.5665173,58.3951086,4111,Aspen Ave
-134.5744488,58.395041,4416,Columbia Blvd
-134.5714984,58.3950488,4412,Mendenhall Blvd
-134.572205,58.3950515,4411,Mendenhall Blvd
-134.6204409,58.3936212,,
-134.5639253,58.3948539,4100,Taku Blvd
-134.5831661,58.3946572,4240,Riverside Dr
-134.5671843,58.3945867,4119,Aspen Ave
-134.5847207,58.3945213,4238,Marion Dr
-134.5744511,58.3946262,4406,Columbia Blvd
-134.5722062,58.3946361,8201,Dogwood Ln
-134.5708318,58.3946756,8127,Dogwood Ln
-134.5841765,58.3943883,4237,Riverside Dr
-134.5644185,58.3945151,4101,Taku Blvd
-134.5677315,58.3941962,4133,Aspen Ave
-134.5800138,58.3943776,4452,Julep St
-134.574448,58.3943582,4402,Columbia Blvd
-134.5722089,58.3943668,4321,Mendenhall Blvd
-134.5751903,58.394325,4399,Columbia Blvd
-134.6211761,58.3930006,,
-134.584462,58.3938702,4211,Riverside Dr
-134.6275756,58.3931176,,
-134.5751581,58.3939385,4135,Columbia Blvd
-134.5743567,58.393966,8221,Cedar Dr
-134.5647945,58.393989,8505,East Valley Ct
-134.5722705,58.3939543,8201,Cedar Dr
-134.6284836,58.3929715,,
-134.5798926,58.3936918,8928,Sleepy Ct
-134.5638424,58.3936609,8498,Thunder Mountain Rd
-134.6298081,58.3927296,11735,Mendenhall Loop Rd
-134.5579851,58.3936603,8476,Thunder Mountain Rd
-134.6309037,58.392568,4230,Auke Ln
-134.571343,58.3934967,4304,Mendenhall Blvd
-134.5722614,58.393459,4305,Mendenhall Blvd
-134.7488092,58.3919691,16755,Glacier Hwy
-134.5798731,58.3933635,8931,Sleepy Ct
-134.5711188,58.3933122,4128,Birch Ln
-134.564302,58.3933374,8463,Kimberly St
-134.6322945,58.392446,,
-134.6295482,58.3924,4217,Auke Ln
-134.5720179,58.3931724,8204,Birch Ln
-134.7696,58.3907601,17099,Pt Lena Loop Rd
-134.5751284,58.3929914,4125,Columbia Blvd
-134.5707426,58.3930034,4137,Birch Ln
-134.5798244,58.3929783,8926,Birch Ln
-134.6188424,58.3923831,,
-134.5645706,58.3929661,8462,Kimberly St
-134.563753,58.3928993,4011,Diane Rd
-134.5715342,58.3927808,8205,Birch Ln
-134.5611205,58.3929459,8452,Kimberly St
-134.5599594,58.3928771,4066,Deborah Dr
-134.579824,58.3926356,8923,Birch Ln
-134.5780987,58.3926087,8909,Birch Ln
-134.5773496,58.3926062,4425,Ichabod Ln
-134.5768577,58.3925958,8901,Birch Ln
-134.5760671,58.3925973,8891,Birch Ln
-134.7438958,58.3910044,16530,Glacier Hwy
-134.5626169,58.3924564,4047,Mitchell Way
-134.5836837,58.3916575,,
-134.7435701,58.3906312,16526,Glacier Hwy
-134.5632253,58.3921716,4037,Mitchell Way
-134.569187,58.3917982,4182,Aspen Ave
-134.5839603,58.39131,3883,Killewich Dr
-134.6419826,58.3907682,3814,Lee Ct
-134.5649952,58.391704,4021,Deborah Dr
-134.5684824,58.3916065,4118,Mendenhall Blvd
-134.569603,58.3914617,4207,Mendenhall Blvd
-134.578645,58.3914329,8316,Aspen Ave
-134.5769131,58.3914381,4399,Sesame St
-134.6415891,58.3904629,3835,Lee Ct
-134.5760981,58.3914051,4400,Sesame St
-134.5714237,58.3914401,8226,Aspen Ave
-134.5707557,58.3914218,8218,Aspen Ave
-134.5748167,58.391381,8164,Pinewood Dr
-134.5678092,58.3913532,4106,Mendenhall Blvd
-134.5654771,58.3913253,4016,Deborah Dr
-134.5690487,58.3911775,8205,Aspen Ave
-134.5640987,58.3911364,4019,Delta Dr
-134.5667945,58.39111,8503,Valley Blvd
-134.6404722,58.3899802,12250,Mendenhall Loop Rd
-134.5663282,58.3910845,3940,Diane Rd
-134.5655997,58.3910665,8495,Valley Blvd
-134.578682,58.3909934,8317,Aspen Ave
-134.5769531,58.3909917,8305,Aspen Ave
-134.5762391,58.390993,8275,Aspen Ave
-134.5683538,58.390972,4101,Mendenhall Blvd
-134.5839928,58.3906018,3878,Killewich Dr
-134.5835936,58.390599,,
-134.5786921,58.3907146,8940,Haffner Ct
-134.5773052,58.3907144,8926,Haffner Ct
-134.5768663,58.3907039,8924,Haffner Ct
-134.5764046,58.3907349,8918,Haffner Ct
-134.5758204,58.3903223,,
-134.5672364,58.3906494,3828,Kiowa Dr
-134.5664331,58.3906446,8502,Valley Blvd
-134.5640445,58.3906311,4000,Slate Dr
-134.7678038,58.3887198,16955,Pt Lena Loop Rd
-134.5786932,58.3903583,8941,Haffner Ct
-134.5788199,58.3900187,3952,Portage Blvd
-134.5766059,58.3900129,8920,Duran St
-134.5747191,58.3899674,8892,Duran St
-134.5739371,58.389889,8445,Duran St
-134.5729839,58.3898898,8820,Duran St
-134.5726232,58.3898906,8800,Duran St
-134.566241,58.3899322,8512,Nugget Pl
-134.5698914,58.3898221,4016,Spruce Ln
-134.5787,58.3895769,3806,Portage Blvd
-134.5767189,58.3895661,3805,Mcginnis Dr
-134.5669536,58.3896223,8531,Steep Pl
-134.5748729,58.3894949,8895,Duran St
-134.5662572,58.3896388,8433,Steep Pl
-134.5744401,58.3894542,8893,Duran St
-134.5740464,58.38946,8889,Duran St
-134.572771,58.3894632,8799,Duran St
-134.5706982,58.3893046,4005,Spruce Ln
-134.5787028,58.3892365,3798,Portage Blvd
-134.5767162,58.3892334,3803,Mcginnis Dr
-134.5727729,58.3891862,3729,El Camino St
-134.5668497,58.3892252,8532,Steep Pl
-134.5787097,58.3887112,3728,Portage Blvd
-134.5767212,58.3887117,8931,Trio St
-134.5727158,58.3887839,3724,El Camino St
-134.571383,58.3887749,3735,El Camino St
-134.5787115,58.3883318,8928,Tanis Dr
-134.5767201,58.3883314,8920,Tanis Dr
-134.5662722,58.3884788,3716,Amalga St
-134.5651541,58.3884721,8416,Nugget Dr
-134.5639065,58.3885061,8412,Nugget Dr
-134.5629489,58.3884933,3734,Quartz St
-134.5623401,58.3884946,3731,Boulder St
-134.5607933,58.3883924,3732,Boulder St
-134.5659233,58.3883028,3714,Amalga St
-134.654463,58.3866391,3853,Bayview Ave
-134.5917236,58.3877586,9257,Sharon St
-134.6550912,58.3864781,3855,Seaview Ave
-134.5787122,58.3878067,3722,Portage Blvd
-134.6588259,58.3859858,12280,Glacier Hwy
-134.576721,58.3878058,3779,Mcginnis Dr
-134.5642483,58.38798,3707,Amalga St
-134.5917228,58.3874795,9250,Gee St
-134.592561,58.3874354,9330,Betty Ct
-134.5727624,58.3877685,3716,El Camino St
-134.5636883,58.3876884,3705,Amalga St
-134.5787124,58.3874283,8910,Gee St
-134.5759603,58.3875089,3700,Mcginnis Dr
-134.5767212,58.3874269,3773,Mcginnis Dr
-134.6449651,58.3861072,11687,Glacier Hwy
-134.5734571,58.3873919,3713,El Camino St
-134.5632944,58.3874756,3701,Amalga St
-134.591713,58.3870043,9253,Gee St
-134.5925536,58.3869808,9331,Betty Ct
-134.5838383,58.3870146,9211,Gee St
-134.583061,58.3869514,9031,Gee St
-134.7441838,58.3847202,15950,Glacier Hwy
-134.5795495,58.3869587,3653,Portage Blvd
-134.5787728,58.3868619,8909,Gee St
-134.5766216,58.3868477,3651,Mcginnis Dr
-134.5830569,58.3865393,9032,Long Run Dr
-134.6578277,58.3851609,12275,Glacier Hwy
-134.5917148,58.3864714,9406,Long Run Dr
-134.5787714,58.3864562,3640,Portage Blvd
-134.576635,58.3864689,8996,Long Run Dr
-134.5758702,58.3864076,8991,Long Run Dr
-134.5795484,58.3863604,3641,Portage Blvd
-134.5830542,58.3859457,9029,Long Run Dr
-134.7436248,58.3840386,15918,Lee Dr
-134.7463802,58.3838622,16005,Pt Lena Way
-134.5821766,58.385302,9950,Stephen Richards Memorial Dr
-134.5806884,58.3849767,9950,Stephen Richards Memorial Dr
-134.5795663,58.3848962,9950,Stephen Richards Memorial Dr
-134.5777394,58.3847327,9950,Stephen Richards Memorial Dr
-134.5761953,58.3848074,,
-134.572745,58.3850178,8740,Dudley St
-134.5780179,58.3845468,9950,Stephen Richards Memorial Dr
-134.5823608,58.3843708,9950,Stephen Richards Memorial Dr
-134.6644265,58.3829177,12533,Glacier Hwy
-134.6627066,58.3826662,12500,Auke Nu Dr
-134.6659151,58.3827907,12585,Glacier Hwy
-134.6669402,58.3827828,,
-134.6672347,58.3824395,,
-134.5720638,58.3840567,3480,Tongass Blvd
-134.5811887,58.383402,9000,Stephen Richards Memorial Dr
-134.5795284,58.3826634,9000,Stephen Richards Memorial Dr
-134.5884974,58.3833015,3402,Meander Way
-134.58872,58.3829253,9354,Parkview Ct
-134.5898823,58.3826681,3361,Meander Way
-134.5889632,58.3826995,9357,Center Ct
-134.6380519,58.3809889,,
-134.5670637,58.3831475,8500,Evergreen Park Rd
-134.5662943,58.3831997,8499,Rainbow Row
-134.5652663,58.3830528,8460,Rainbow Row
-134.7409413,58.381223,,
-134.6400533,58.381426,,
-134.7422878,58.3808607,15775,Glacier Hwy
-134.5892232,58.3823329,9356,Center Ct
-134.6422371,58.381008,,
-134.5907381,58.3816278,9365,Lakeview Ct
-134.5785249,58.38159,9091,Cinema Dr
-134.5915379,58.381227,3314,Meander Way
-134.5926784,58.3811078,3311,Meander Way
-134.5930378,58.3809813,9387,Rivercourt Way
-134.5720478,58.381379,8614,Evergreen Park Rd
-134.5919298,58.3809225,9375,Rivercourt Way
-134.5883265,58.3809198,9343,Rivercourt Way
-134.5730806,58.3810165,3311,Tongass Blvd
-134.7011869,58.3796509,3105,National Park Service Rd
-134.5730732,58.3804944,3259,Tongass Blvd
-134.5720518,58.380576,8618,Hayes Way
-134.7016987,58.3792743,3105,National Park Service Rd
-134.7020273,58.3790052,3102,National Park Service Rd
-134.7042965,58.3782217,14180,Otter Way
-134.7024362,58.37859,,
-134.7027242,58.3784788,,
-134.6995945,58.3784078,,
-134.6987329,58.3783902,3179,Indian Cove Dr
-134.702949,58.3781455,,
-134.6989356,58.3781602,3179,Indian Cove Dr
-134.7015728,58.3781076,3192,Indian Cove Dr
-134.701188,58.3780957,3190,Indian Cove Dr
-134.7070779,58.376874,14331,Glacier Hwy
-134.7076788,58.3766343,14341,Glacier Hwy
-134.569895,58.3783373,8602,Marilyn Ave
-134.5691398,58.3782972,3208,Malissa Dr
-134.6265728,58.3773268,3144,Wilma Ave
-134.6261742,58.3768722,10651,Glacier Hwy
-134.5879563,58.3767374,2981,Glacierwood Ct
-134.7313214,58.3755294,15209,Pt Louisa Rd
-134.7306079,58.3754677,15201,Pt Louisa Rd
-134.5881082,58.3765436,2971,Glacierwood Ct
-134.7313568,58.374972,15215,Pt Louisa Rd
-134.5808047,58.3754433,2865,Mendenhall Loop Rd
-134.6232513,58.37561,3010,Hamilton St
-134.622597,58.3751736,3011,Hamilton St
-134.6437309,58.3745746,3000,Fritz Cove Rd
-134.6417944,58.3743565,3001,Fritz Cove Rd
-134.6210159,58.3746837,10490,Glacier Hwy
-134.5803443,58.3748747,2865,Mendenhall Loop Rd
-134.6235553,58.374253,2850,Engineers Cutoff
-134.5826873,58.3743768,2865,Mendenhall Loop Rd
-134.6420635,58.3739098,,
-134.5822815,58.3739691,2865,Mendenhall Loop Rd
-134.5817211,58.3738204,2865,Mendenhall Loop Rd
-134.5901129,58.3735892,2841,Riverside Dr
-134.622779,58.3735275,2850,Engineers Cutoff
-134.5848585,58.3738543,2803,Marsha Ave
-134.5842824,58.3737365,9150,James Blvd
-134.5834847,58.3733273,9148,James Blvd
-134.5842114,58.3730318,9151,James Blvd
-134.5887936,58.3726557,9101,Mendenhall Mall Rd
-134.5828167,58.3721089,2600,Mendenhall Loop Rd
-134.591634,58.3690089,2500,Sunset Dr
-134.5942954,58.3698886,2523,Sunset Dr
-134.5985097,58.3695792,9621,Glacier Hwy
-134.5956644,58.3694677,9500,Glacier Hwy
-134.5979151,58.3694235,2524,Alder Cir
-134.5948572,58.3692693,9500,Glacier Hwy
-134.5971981,58.3690958,2521,Alder Cir
-134.5967448,58.3690063,2505,Radcliffe Rd
-134.586125,58.3689774,9290,Hurlock Ave
-134.595872,58.3688549,9515,Speel Way
-134.5938481,58.3688824,2501,Sunset Dr
-134.5889969,58.3682206,,
-134.5851177,58.3687249,2481,O'Day Dr
-134.5990559,58.3684843,9626,Stikine St
-134.5996838,58.3684571,2517,Scott Dr
-134.6004879,58.368424,9634,Stikine St
-134.6013713,58.3683516,2563,Meadow Ln
-134.5957912,58.3682808,9508,Speel Way
-134.642543,58.3676141,,
-134.5906546,58.368231,9450,Del Rae Rd
-134.5842685,58.3684914,2476,O'Day Dr
-134.5967706,58.3681532,2413,Radcliffe Rd
-134.6013086,58.3680977,2561,Meadow Ln
-134.5987421,58.36809,9625,Stikine St
-134.5836966,58.3683211,2421,Ka-See-An Dr
-134.5996803,58.3680265,9631,Stikine St
-134.600269,58.3680077,9641,Stikine St
-134.6009996,58.3677477,2339,Meadow Ln
-134.5900266,58.3679195,9360,Del Rae Rd
-134.5955391,58.3676428,9505,Radcliffe Ct
-134.591247,58.3674957,9402,Glacier Hwy
-134.5927089,58.3676649,9436,Patricia Pl
-134.5903966,58.3674292,9360,Glacier Hwy
-134.5920689,58.367246,,
-134.5953965,58.3671731,9500,Radcliffe Ct
-134.5904523,58.3672218,9360,Glacier Hwy
-134.5919676,58.3670733,,
-134.5904323,58.3670865,9360,Glacier Hwy
-134.5952643,58.3667911,2314,Radcliffe Rd
-134.5930588,58.3668055,9472,Eagle St
-134.5918489,58.3668557,9425,Glacier Hwy
-134.5961272,58.3666972,9562,Eagle St
-134.597195,58.3666247,9620,Eagle St
-134.5903572,58.3668664,9350,Glacier Hwy
-134.5860114,58.3667928,2366,O'Day Dr
-134.5918359,58.3667198,9425,Glacier Hwy
-134.5980962,58.3664278,9626,Eagle St
-134.5912032,58.36649,9355,Glacier Hwy
-134.5988043,58.3661831,2295,Meadow Ln
-134.5949288,58.3663098,2222,Radcliffe Rd
-134.5866722,58.3663806,9359,Miner Dr
-134.5959085,58.3662721,9567,Eagle St
-134.5903013,58.3664636,,
-134.5881676,58.3662655,2321,O'Day Dr
